FundamentalsofPowerElectronics;http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5 
HandbookoftheLifeCourse;http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2 
AllofStatistics;http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9 
SocialAnxietyandSocialPhobiainYouth;http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0 
DiscreteMathematics;http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2 
DevelopmentalNeurobiology;http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9 
IntuitiveProbabilityandRandomProcessesusingMATLAB®;http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6 
HandbookofDisasterResearch;http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4 
HandbookoftheSociologyofGender;http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2 
HandbookofSociologicalTheory;http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8 
ClinicalNeuroanatomy;http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2 
AcquiredBrainInjury;http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5 
NumericalOptimization;http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5 
HandbookofBiologicalConfocalMicroscopy;http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2 
CeramicMaterials;http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4 
PrinciplesofFluorescenceSpectroscopy;http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4 
FundamentalsofBiomechanics;http://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1 
PrimerontheRheumaticDiseases;http://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3 
InternationalHandbookofHistoricalArchaeology;http://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5 
DatabaseMarketing;http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6 
CompositeMaterials;http://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3 
TimeSeriesAnalysis;http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3 
TransmissionElectronMicroscopy;http://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3 
HandbookofQuantitativeCriminology;http://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7 
PlantPhysiologicalEcology;http://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3 
IntroductoryStatisticswithR;http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1 
